topic,event_id,label,tweet_id,text,clean,toxicity,flag_0.5,flag_0.7,flag_0.8,has_hotspot
Ukraine,EN09,True,1511433128300232707,"@yungdindux @DeftoneSpeak @andrewkimmel @mtracey @republic Who cares? War is full of rumors, false alarms, double reported casualties and other misunderstandings. Getting hung up on the ghost of Kyiv maybe being a myth is some seriously anal levels of scrutiny, and clearly an attempt to lay the basis for wider pro-russian denialism.","Who cares? War is full of rumors, false alarms, double reported casualties and other misunderstandings. Getting hung up on the ghost of Kyiv maybe being a myth is some seriously anal levels of scrutiny, and clearly an attempt to lay the basis for wider pro-russian denialism.",0.95,1,1,1,True
Ukraine,EN07,False,1498623246391930882,"Andy Vermaut shares:""We Will Win"": Former Miss Ukraine's Message To ""Inspire People"": Former Miss Ukraine Anastasiia Lenna, who has joined the military to fight against Russia,has now shared a video of wartime bombings. https://t.co/3msieAqz7W Thank you. https://t.co/LAxH2ixfRD","Andy Vermaut shares:""We Will Win"": Former Miss Ukraine's Message To ""Inspire People"": Former Miss Ukraine Anastasiia Lenna, who has joined the military to fight against Russia,has now shared a video of wartime bombings. Thank you.",0.95,1,1,1,True
Ukraine,EN03,Other,1511242774145814528,"how many jews have been killed in bucha genocide ? Moscow , Putin , Russia, Ukraine , NATO  Europe  #RussianUkrainianWar #Putin Baltic  #Donbas  #Putin  #BuchaGenocide #Bucha  #Butcha https://t.co/t05LbgWSjW","how many jews have been killed in bucha genocide ? Moscow , Putin , Russia, Ukraine , NATO Europe RussianUkrainianWar Putin Baltic Donbas Putin BuchaGenocide Bucha Butcha",0.95,1,1,1,True
Ukraine,EN06,True,1503454617182515203,@undersharer @XrpBates @TheInsiderPaper He says it right here “Not here to make friends.  Crypto Twitter only”.  So what was i to make of his comments that the war in Ukraine is “staged”.  This guy doesn’t live in reality.  Does he need Ukrainian War Panda NFTs in order to realize that this war is very real? https://t.co/3D26i2hCN0,He says it right here “Not here to make friends. Crypto Twitter only”. So what was i to make of his comments that the war in Ukraine is “staged”. This guy doesn’t live in reality. Does he need Ukrainian War Panda NFTs in order to realize that this war is very real?,0.95,1,1,1,True
Ukraine,EN01,Other,1502056641507827714,Statement from the Russian embassy in Canada about the ongoing conflict in #Ukraine. https://t.co/quY2rGuzZp,Statement from the Russian embassy in Canada about the ongoing conflict in Ukraine.,0.95,1,1,1,True
Ukraine,EN08,Other,1511487869499625489,@JustinTrudeau @lopezobrador_ Are you sure that you spoke with him?? I’m not sure he has a capable translator at the Palace where he lives in poverty.. Lopez is a Fan of Socialism and he goes always into the wrong direction. Believe me if Hitler was alive Lopez would have been a Real Fan.. He loves Putin btw,Are you sure that you spoke with him?? I’m not sure he has a capable translator at the Palace where he lives in poverty.. Lopez is a Fan of Socialism and he goes always into the wrong direction. Believe me if Hitler was alive Lopez would have been a Real Fan.. He loves Putin btw,0.934,1,1,1,True
Ukraine,EN03,False,1511485866123972609,"@schloops01 @TruthJusticeAz @Richard95859255 @Citizen6222 @Vasilisa_2_0 Here!!
please watch this and tell me how is it the fault of Russia?!?!
Conducting those war crimes is decision of Ukraine alone, territory disputes have nothing to do with it.

its a collection of videos from 2014 Ukraine ""Anti-Terrorist Program"" 
https://t.co/eK6XctQlya","Here!! please watch this and tell me how is it the fault of Russia?!?! Conducting those war crimes is decision of Ukraine alone, territory disputes have nothing to do with it. its a collection of videos from 2014 Ukraine ""Anti-Terrorist Program""",0.95,1,1,1,True
Ukraine,EN06,False,1502379798966018055,"Russia vs Ukraine, a new play of war. Produced &; scripted by the Hawks label, USA. Directed by best director J Biden. Play leading by best actor, V Zelensky, plus many supporting extras. Many scenes were touching &; moving. Remember, this is just a staged play, fake &; not real. https://t.co/ohYnD1f4te","Russia vs Ukraine, a new play of war. Produced &; scripted by the Hawks label, USA. Directed by best director J Biden. Play leading by best actor, V Zelensky, plus many supporting extras. Many scenes were touching &; moving. Remember, this is just a staged play, fake &; not real.",0.95,1,1,1,True
Ukraine,EN09,True,1504057519127228420,@mattysino Kinzinger wants nuclear war now and believes Samuel Hyde is the Ghost of Kyiv. He’s a clown extraordinaire.,Kinzinger wants nuclear war now and believes Samuel Hyde is the Ghost of Kyiv. He’s a clown extraordinaire.,0.8600000000000001,1,1,1,True
Ukraine,EN05,Other,1507319334087110662,@jmbenson1491 Just had conversation with my Ukrainian friend who just fled to Poland. Zelensky is “no saint”,Just had conversation with my Ukrainian friend who just fled to Poland. Zelensky is “no saint”,0.94256,1,1,1,True
Ukraine,EN04,Other,1511453596470190083,"@lookner about the Tank issue, that is not true that Czech Republic is the first country delivering tanks to Ukraine, Russia has been delivering in the last month tanks for free to Ukraine, you can ask the Traktor legion!","about the Tank issue, that is not true that Czech Republic is the first country delivering tanks to Ukraine, Russia has been delivering in the last month tanks for free to Ukraine, you can ask the Traktor legion!",0.90424,1,1,1,True
Ukraine,EN01,Other,1511364474321711110,"Claim: 'Faked dead bodies'
The Russian Embassy in Canada tweeted the video, dismissing the idea that it showed corpses, with the caption ""staged video showing faked dead bodies in the town of Bucha near Kiev"". BBC Source

Remove the Russian Diplomats from Canada NOW!!","Claim: 'Faked dead bodies' The Russian Embassy in Canada tweeted the video, dismissing the idea that it showed corpses, with the caption ""staged video showing faked dead bodies in the town of Bucha near Kiev"". BBC Source Remove the Russian Diplomats from Canada NOW!!",0.95,1,1,1,True
Ukraine,EN01,False,1499276047749156870,Statement from Russian Embassy in Canda. Russia is ending a war. The media and Cabal tell you different. Now you know. #canada #russia #ukraine #Azov https://t.co/SLHFqaA9qX,Statement from Russian Embassy in Canda. Russia is ending a war. The media and Cabal tell you different. Now you know. canada russia ukraine Azov,0.95,1,1,1,True
Ukraine,EN03,Other,1511479555520819208,"Russia's plan: to secure the Donbas region and most of Ukraine's energy resources. That's where they've launched their best and best-equipped troops.

Kyiv was a feint, and Russia's withdrawal from there is nothing. Grabbing Donbas and linking it to Crimea is everything.","Russia's plan: to secure the Donbas region and most of Ukraine's energy resources. That's where they've launched their best and best-equipped troops. Kyiv was a feint, and Russia's withdrawal from there is nothing. Grabbing Donbas and linking it to Crimea is everything.",0.92488,1,1,1,True
Ukraine,EN03,Other,1511455184421015553,"Zelensky accused Russia of war crimes during his speech to the U.N. Security Council today and a look at the new phase of the war in the Donbas, in today's @nytimes Russia Ukraine War Briefing. https://t.co/jZ4s1XogCw","Zelensky accused Russia of war crimes during his speech to the U.N. Security Council today and a look at the new phase of the war in the Donbas, in today's Russia Ukraine War Briefing.",0.95,1,1,1,True
Ukraine,EN01,False,1499205117396267010,New statement from Russian embassy canada Re the DeNazification of Ukraine #ANTIFA #AntiFascist https://t.co/AygNkfW5wH,New statement from Russian embassy canada Re the DeNazification of Ukraine ANTIFA AntiFascist,0.95,1,1,1,True
Ukraine,EN01,False,1499235795735089161,Russian Embassy in Canada released a statement that is pointing to a deeper deep divide between Ukrainian &; Russian supporters. Both side are digging in. https://t.co/NYxGqeXk70,Russian Embassy in Canada released a statement that is pointing to a deeper deep divide between Ukrainian &; Russian supporters. Both side are digging in.,0.95,1,1,1,True
Ukraine,EN03,Other,1511482727576571911,"ZELENSKYY caused a War in Ukraine.

He is trying to STOP Russia from ejecting NAZIS from his Annex regions of Donbas, Luhansk Odesa .

Zelenskyy is Warring against a Operation not a War , a Special Operation as Putin stated

Zelenskyy chose to fight it like a War.

@KremlinRussia https://t.co/sUBDYiB5S6","ZELENSKYY caused a War in Ukraine. He is trying to STOP Russia from ejecting NAZIS from his Annex regions of Donbas, Luhansk Odesa . Zelenskyy is Warring against a Operation not a War , a Special Operation as Putin stated Zelenskyy chose to fight it like a War.",0.95,1,1,1,True
Ukraine,EN06,True,1505447834778324993,"@PeterCronau @fivestarmichael It was real &; not staged. Russia's been targeting homes,hospitals, churches &; schools almost since the beginning of the war. Not too far of a jump to targeting a theater, just as it was no surprise that they'd target the Svetogorskaya Lavra in Donbas.","It was real &; not staged. Russia's been targeting homes,hospitals, churches &; schools almost since the beginning of the war. Not too far of a jump to targeting a theater, just as it was no surprise that they'd target the Svetogorskaya Lavra in Donbas.",0.95,1,1,1,True
Ukraine,EN07,True,1500836704068210689,FALSE: Ex-Miss Ukraine Anastasiia Lenna joins military in fight against Russia https://t.co/gVnpagKSjd,FALSE: Ex-Miss Ukraine Anastasiia Lenna joins military in fight against Russia,0.9228,1,1,1,True
Ukraine,EN06,False,1505657996008902667,"@vijeta11w @MaajidNawaz There is war, that we know.
I stumbled even on a Twitter corner full of folks that proclaim that the war is not even real, that it’s all staged. That’s where is my line.
It is war, and the longer it keeps going, the more F’ed up it will be and the more reality will be blurred.","There is war, that we know. I stumbled even on a Twitter corner full of folks that proclaim that the war is not even real, that it’s all staged. That’s where is my line. It is war, and the longer it keeps going, the more F’ed up it will be and the more reality will be blurred.",0.95,1,1,1,True
