word,log_odds,crisis_count,baseline_count
embassy,4.818348168237794,127,0
tank,4.762108449914918,120,0
donbas,4.65766578654732,108,0
ukrainian,4.571488090306268,99,0
staged,4.39713470316149,83,0
lenna,4.270382997522347,73,0
statement,4.242984023334232,71,0
anastasiia,4.228997781359492,70,0
ebay,4.140705174213814,64,0
ghost,4.060662466540277,59,0
fled,4.060662466540277,59,0
rothschild,4.043855348223897,58,0
zelensky,4.009369172152727,113,1
magazine,3.9736510895506476,54,0
arma,3.9553019508824514,53,0
poland,3.8375189152260676,95,1
military,3.6798899710224844,81,1
bucha,3.629879550447823,38,0
kiev,3.5772358169624012,36,0
hyde,3.549836842774287,35,0
