word,delta_tfidf,crisis_tfidf,baseline_tfidf
ukraine,0.05143507899426477,0.05293310598894709,0.001498026994682324
russian,0.03910389468271558,0.04190717330989781,0.0028032786271822265
putin,0.03242878129396496,0.03513935368050352,0.0027105723865385573
war,0.03195709914444725,0.03277189253566304,0.0008147933912157936
russia,0.029198377091765954,0.04021083688657647,0.01101245979481052
embassy,0.023916507959354343,0.023916507959354343,0.0
canada,0.02292933182192154,0.02366464254619247,0.0007353107242709309
tank,0.021558021030011545,0.021558021030011545,0.0
russian embassy,0.020299907149463746,0.020299907149463746,0.0
embassy canada,0.01792982259402013,0.01792982259402013,0.0
zelensky,0.017554628463916987,0.017704827348463657,0.00015019888454666824
donbas,0.01674060270889093,0.01674060270889093,0.0
poland,0.016425299695223734,0.016605802170247232,0.00018050247502349987
statement,0.01636401750368225,0.01636401750368225,0.0
hitler,0.01579330897112721,0.016493169395872892,0.0006998604247456838
ukrainian,0.014993699612111234,0.014993699612111234,0.0
staged,0.014299323662368016,0.014299323662368016,0.0
ebay,0.013999598332145318,0.013999598332145318,0.0
genocide,0.01396436742921873,0.014595445930722805,0.0006310785015040739
ghost,0.013297736044024414,0.013297736044024414,0.0
